model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,FewShotPlainLLM,0,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,1,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,2,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,3,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,4,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,5,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,6,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,7,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,8,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,9,deepseek-coder:6.7b,0.019299999999999998
qwen3_8b,FewShotPlainLLM,10,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,11,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,12,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,13,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,14,deepseek-coder:6.7b,0.0
qwen3_8b,FewShotPlainLLM,15,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,16,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,17,deepseek-coder:6.7b,0.1
qwen3_8b,FewShotPlainLLM,18,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,19,deepseek-coder:6.7b,0.9
qwen3_8b,FewShotPlainLLM,20,deepseek-coder:6.7b,0.015
qwen3_8b,FewShotPlainLLM,21,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,22,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,23,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,24,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,25,deepseek-coder:6.7b,0.0
qwen3_8b,FewShotPlainLLM,26,deepseek-coder:6.7b,0.0
qwen3_8b,FewShotPlainLLM,27,deepseek-coder:6.7b,0.33
qwen3_8b,FewShotPlainLLM,28,deepseek-coder:6.7b,0.02
qwen3_8b,FewShotPlainLLM,29,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,30,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,31,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,32,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,33,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,34,deepseek-coder:6.7b,0.98
qwen3_8b,FewShotPlainLLM,35,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,36,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,37,deepseek-coder:6.7b,0.0
qwen3_8b,FewShotPlainLLM,38,deepseek-coder:6.7b,0.013000000000000001
qwen3_8b,FewShotPlainLLM,39,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,40,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,41,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,42,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,43,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,44,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,45,deepseek-coder:6.7b,0.0
qwen3_8b,FewShotPlainLLM,46,deepseek-coder:6.7b,0.85
qwen3_8b,FewShotPlainLLM,47,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,48,deepseek-coder:6.7b,0.8
qwen3_8b,FewShotPlainLLM,49,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,50,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,51,deepseek-coder:6.7b,0.85
qwen3_8b,FewShotPlainLLM,52,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,53,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,54,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,55,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,56,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,57,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,58,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,59,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,60,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,61,deepseek-coder:6.7b,0.0
qwen3_8b,FewShotPlainLLM,62,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,63,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,64,deepseek-coder:6.7b,0.5
qwen3_8b,FewShotPlainLLM,65,deepseek-coder:6.7b,1.0
qwen3_8b,FewShotPlainLLM,66,deepseek-coder:6.7b,0.375
