model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,ToTPlainLLM,0,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,1,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,3,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,5,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTPlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,7,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,9,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,10,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,11,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,12,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,13,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTPlainLLM,14,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTPlainLLM,15,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,16,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTPlainLLM,17,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,18,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTPlainLLM,19,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTPlainLLM,20,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTPlainLLM,21,qwen3:8b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTPlainLLM,22,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,23,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,24,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTPlainLLM,25,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTPlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,27,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTPlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,29,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTPlainLLM,30,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTPlainLLM,31,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTPlainLLM,32,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTPlainLLM,33,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,34,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,35,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,36,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTPlainLLM,37,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,38,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,39,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTPlainLLM,40,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,41,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTPlainLLM,42,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTPlainLLM,43,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTPlainLLM,44,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTPlainLLM,45,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,46,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,47,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTPlainLLM,48,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,49,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,50,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,51,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,52,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTPlainLLM,53,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,54,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,55,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTPlainLLM,56,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTPlainLLM,57,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
