model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,ToTRAG,0,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTRAG,1,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTRAG,2,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,5,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTRAG,6,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTRAG,7,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,13,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,15,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTRAG,16,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTRAG,17,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,18,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,21,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,23,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,25,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,27,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTRAG,28,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTRAG,29,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,30,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,31,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,ToTRAG,32,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,34,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,35,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,36,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,37,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,ToTRAG,38,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,40,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,ToTRAG,41,qwen3:8b,0.43333333333333335,3,0.5,0.3,0.5
llama3_2_latest,ToTRAG,42,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,43,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTRAG,44,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,45,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTRAG,46,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,47,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,48,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,49,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTRAG,50,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,ToTRAG,51,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,ToTRAG,52,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,53,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,54,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,55,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,ToTRAG,56,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,57,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,58,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,59,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,ToTRAG,61,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,62,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,63,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,ToTRAG,64,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,65,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,ToTRAG,66,qwen3:8b,0.0,3,0.0,0.0,0.0
