model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,FewShotPlainLLM,0,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,1,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,7,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,9,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,FewShotPlainLLM,10,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,FewShotPlainLLM,11,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,12,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,13,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,14,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,15,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,FewShotPlainLLM,16,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,FewShotPlainLLM,17,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,18,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,19,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,21,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,22,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,FewShotPlainLLM,23,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,FewShotPlainLLM,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,27,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,28,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,FewShotPlainLLM,29,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,FewShotPlainLLM,30,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,FewShotPlainLLM,31,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,FewShotPlainLLM,32,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,33,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,34,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,35,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,36,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,37,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,FewShotPlainLLM,38,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,39,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,40,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,41,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,FewShotPlainLLM,42,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,FewShotPlainLLM,43,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,44,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,45,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,FewShotPlainLLM,46,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,FewShotPlainLLM,47,qwen3:8b,0.0,3,0.0,0.0,0.0
