model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,GoTSelfCorrectionRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,3,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,4,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,GoTSelfCorrectionRAG,5,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,6,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,7,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,11,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,16,qwen3:8b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,GoTSelfCorrectionRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,GoTSelfCorrectionRAG,20,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,23,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,GoTSelfCorrectionRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,GoTSelfCorrectionRAG,26,qwen3:8b,0.6666666666666666,3,0.5,1.0,0.5
