model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,CoTRAG,0,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,1,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,2,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,3,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,4,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,5,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,6,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,7,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,8,deepseek-coder:6.7b,0.93
qwen3_8b,CoTRAG,9,deepseek-coder:6.7b,0.8
qwen3_8b,CoTRAG,10,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,11,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,12,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,13,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,14,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,15,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,16,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,17,deepseek-coder:6.7b,0.54
qwen3_8b,CoTRAG,18,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,19,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,20,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,21,deepseek-coder:6.7b,0.75
qwen3_8b,CoTRAG,22,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,23,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,24,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,25,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,26,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,27,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,28,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,29,deepseek-coder:6.7b,0.0
qwen3_8b,CoTRAG,30,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,31,deepseek-coder:6.7b,0.0
qwen3_8b,CoTRAG,32,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,33,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,34,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,35,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,36,deepseek-coder:6.7b,0.0
qwen3_8b,CoTRAG,37,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,38,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,39,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,40,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,41,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,42,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,43,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,44,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,45,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,46,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,47,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,48,deepseek-coder:6.7b,0.0
qwen3_8b,CoTRAG,49,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,50,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,51,deepseek-coder:6.7b,0.8
qwen3_8b,CoTRAG,52,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,53,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,54,deepseek-coder:6.7b,0.5
qwen3_8b,CoTRAG,55,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,56,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,57,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,58,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,59,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,60,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,61,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,62,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,63,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,64,deepseek-coder:6.7b,0.95
qwen3_8b,CoTRAG,65,deepseek-coder:6.7b,1.0
qwen3_8b,CoTRAG,66,deepseek-coder:6.7b,0.5
