model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
phi4_14b,CoTPlainLLM,0,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,1,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.0,1.0
phi4_14b,CoTPlainLLM,2,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,3,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
phi4_14b,CoTPlainLLM,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,5,deepseek-coder:6.7b,0.7666666666666666,3,0.3,1.0,1.0
phi4_14b,CoTPlainLLM,6,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
phi4_14b,CoTPlainLLM,7,deepseek-coder:6.7b,0.8166666666666668,3,1.0,0.5,0.95
phi4_14b,CoTPlainLLM,8,deepseek-coder:6.7b,0.9,3,1.0,1.0,0.7
phi4_14b,CoTPlainLLM,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,10,deepseek-coder:6.7b,0.5555555555555555,3,1.0,0.6666666666666666,0.0
phi4_14b,CoTPlainLLM,11,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
phi4_14b,CoTPlainLLM,12,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,CoTPlainLLM,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,14,deepseek-coder:6.7b,0.85,3,1.0,0.8,0.75
phi4_14b,CoTPlainLLM,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,16,deepseek-coder:6.7b,0.6833333333333332,3,0.05,1.0,1.0
phi4_14b,CoTPlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
phi4_14b,CoTPlainLLM,18,deepseek-coder:6.7b,0.9,3,1.0,0.75,0.95
phi4_14b,CoTPlainLLM,19,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
phi4_14b,CoTPlainLLM,20,deepseek-coder:6.7b,0.9666666666666667,3,0.9,1.0,1.0
phi4_14b,CoTPlainLLM,21,deepseek-coder:6.7b,0.7166666666666667,3,1.0,0.5,0.65
phi4_14b,CoTPlainLLM,22,deepseek-coder:6.7b,0.85,3,1.0,0.75,0.8
