model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,ToTPlainLLM,0,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
llama3_2_latest,ToTPlainLLM,1,deepseek-coder:6.7b,0.8250000000000001,3,0.875,0.6,1.0
llama3_2_latest,ToTPlainLLM,2,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
llama3_2_latest,ToTPlainLLM,3,deepseek-coder:6.7b,0.48333333333333334,3,0.5,0.95,0.0
llama3_2_latest,ToTPlainLLM,4,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTPlainLLM,5,deepseek-coder:6.7b,0.5,3,1.0,0.0,0.5
llama3_2_latest,ToTPlainLLM,6,deepseek-coder:6.7b,0.7233333333333333,3,1.0,0.5,0.67
llama3_2_latest,ToTPlainLLM,7,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTPlainLLM,8,deepseek-coder:6.7b,0.666025641025641,3,0.075,0.923076923076923,1.0
llama3_2_latest,ToTPlainLLM,9,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,10,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTPlainLLM,11,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,13,deepseek-coder:6.7b,0.5833333333333334,3,0.75,1.0,0.0
llama3_2_latest,ToTPlainLLM,14,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
llama3_2_latest,ToTPlainLLM,15,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,ToTPlainLLM,16,deepseek-coder:6.7b,0.9,3,1.0,0.7,1.0
llama3_2_latest,ToTPlainLLM,17,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,18,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,ToTPlainLLM,19,deepseek-coder:6.7b,0.7766666666666667,3,0.83,0.5,1.0
llama3_2_latest,ToTPlainLLM,20,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
llama3_2_latest,ToTPlainLLM,21,deepseek-coder:6.7b,0.9500000000000001,3,1.0,1.0,0.85
llama3_2_latest,ToTPlainLLM,22,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,24,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,ToTPlainLLM,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTPlainLLM,26,deepseek-coder:6.7b,0.9333333333333332,3,1.0,1.0,0.8
llama3_2_latest,ToTPlainLLM,27,deepseek-coder:6.7b,0.75,3,0.75,1.0,0.5
llama3_2_latest,ToTPlainLLM,28,deepseek-coder:6.7b,0.9,3,0.7,1.0,1.0
llama3_2_latest,ToTPlainLLM,29,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,30,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,ToTPlainLLM,31,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,32,deepseek-coder:6.7b,0.3333333333333333,3,1.0,0.0,0.0
llama3_2_latest,ToTPlainLLM,33,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,ToTPlainLLM,34,deepseek-coder:6.7b,0.5416666666666666,3,0.0,0.625,1.0
llama3_2_latest,ToTPlainLLM,35,deepseek-coder:6.7b,0.34,3,1.0,0.01,0.01
llama3_2_latest,ToTPlainLLM,36,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,37,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,38,deepseek-coder:6.7b,0.9833333333333334,3,0.95,1.0,1.0
llama3_2_latest,ToTPlainLLM,39,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
llama3_2_latest,ToTPlainLLM,40,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTPlainLLM,41,deepseek-coder:6.7b,0.8888888888888888,3,1.0,0.6666666666666666,1.0
llama3_2_latest,ToTPlainLLM,42,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,ToTPlainLLM,43,deepseek-coder:6.7b,0.6,3,0.0,0.8,1.0
llama3_2_latest,ToTPlainLLM,44,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.0,1.0
llama3_2_latest,ToTPlainLLM,45,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,ToTPlainLLM,46,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,47,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,48,deepseek-coder:6.7b,0.5883333333333333,3,1.0,0.75,0.015
llama3_2_latest,ToTPlainLLM,49,deepseek-coder:6.7b,0.8166666666666668,3,0.95,0.5,1.0
llama3_2_latest,ToTPlainLLM,50,deepseek-coder:6.7b,0.6669999999999999,3,1.0,0.001,1.0
llama3_2_latest,ToTPlainLLM,51,deepseek-coder:6.7b,0.75,3,1.0,0.75,0.5
llama3_2_latest,ToTPlainLLM,52,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,53,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,54,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,ToTPlainLLM,55,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,56,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,ToTPlainLLM,57,deepseek-coder:6.7b,0.9833333333333334,3,1.0,1.0,0.95
llama3_2_latest,ToTPlainLLM,58,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,ToTPlainLLM,59,deepseek-coder:6.7b,0.8333333333333334,3,0.75,0.75,1.0
llama3_2_latest,ToTPlainLLM,60,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,ToTPlainLLM,61,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,ToTPlainLLM,62,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.75,0.0
llama3_2_latest,ToTPlainLLM,63,deepseek-coder:6.7b,0.6666666666666666,3,1.0,1.0,0.0
llama3_2_latest,ToTPlainLLM,64,deepseek-coder:6.7b,0.6166666666666667,3,1.0,0.0,0.85
llama3_2_latest,ToTPlainLLM,65,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
llama3_2_latest,ToTPlainLLM,66,deepseek-coder:6.7b,0.4166666666666667,3,0.5,0.75,0.0
