model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,FewShotPlainLLM,0,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,1,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,FewShotPlainLLM,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,4,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,5,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,7,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,8,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,10,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,FewShotPlainLLM,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,14,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,15,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,16,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,18,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,19,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,FewShotPlainLLM,20,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,21,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,23,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,30,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,31,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,32,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,33,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,34,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,FewShotPlainLLM,35,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,36,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,FewShotPlainLLM,37,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,38,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,41,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,42,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,43,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,44,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,45,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,FewShotPlainLLM,46,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,47,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,48,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,49,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,FewShotPlainLLM,50,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,51,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,52,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,53,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,FewShotPlainLLM,54,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,55,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,FewShotPlainLLM,56,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,FewShotPlainLLM,57,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,FewShotPlainLLM,58,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,FewShotPlainLLM,59,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,FewShotPlainLLM,60,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,61,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,62,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,FewShotPlainLLM,63,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,FewShotPlainLLM,64,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,FewShotPlainLLM,65,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,FewShotPlainLLM,66,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
