model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,ToTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.6333333333333333,3,0.0,1.0,0.9
qwen3_8b,ToTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
qwen3_8b,ToTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.9166666666666666,3,1.0,0.75,1.0
qwen3_8b,ToTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
qwen3_8b,ToTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.9500000000000001,3,1.0,0.85,1.0
qwen3_8b,ToTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.7000000000000001,3,0.1,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,8,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,9,deepseek-coder:6.7b,0.45333333333333337,3,0.5,0.67,0.19
qwen3_8b,ToTSelfCorrectionRAG,10,deepseek-coder:6.7b,0.8166666666666668,3,1.0,0.5,0.95
qwen3_8b,ToTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,12,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,13,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,15,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.9166666666666666,3,0.75,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.5166666666666667,3,0.05,1.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.45,3,0.5,0.85,0.0
qwen3_8b,ToTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.9,3,0.95,1.0,0.75
qwen3_8b,ToTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,ToTSelfCorrectionRAG,22,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
qwen3_8b,ToTSelfCorrectionRAG,23,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
qwen3_8b,ToTSelfCorrectionRAG,24,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
qwen3_8b,ToTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
