model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,SelfCorrectionRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,1,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SelfCorrectionRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,5,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,6,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,7,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,9,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,10,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,11,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,SelfCorrectionRAG,12,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,16,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
qwen3_8b,SelfCorrectionRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,SelfCorrectionRAG,20,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SelfCorrectionRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,23,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,25,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,SelfCorrectionRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,31,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,32,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,34,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SelfCorrectionRAG,35,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,SelfCorrectionRAG,36,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,SelfCorrectionRAG,37,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,38,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SelfCorrectionRAG,39,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,40,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,41,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,42,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,SelfCorrectionRAG,43,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,44,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,45,qwen3:8b,0.8333333333333334,3,0.5,1.0,1.0
qwen3_8b,SelfCorrectionRAG,46,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,47,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SelfCorrectionRAG,48,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,49,qwen3:8b,0.8333333333333334,3,1.0,1.0,0.5
qwen3_8b,SelfCorrectionRAG,50,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,51,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,52,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,53,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SelfCorrectionRAG,54,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,55,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,56,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
qwen3_8b,SelfCorrectionRAG,57,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,SelfCorrectionRAG,58,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,59,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
qwen3_8b,SelfCorrectionRAG,60,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,61,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,62,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,63,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,64,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,65,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,SelfCorrectionRAG,66,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
