model_dir,strategy,sample_index,judge,faithfulness_code_ref
qwen3_8b,PlainLLM,0,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,1,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,2,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,3,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,4,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,5,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,6,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,7,deepseek-coder:6.7b,0.8
qwen3_8b,PlainLLM,8,deepseek-coder:6.7b,0.5
qwen3_8b,PlainLLM,9,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,10,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,11,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,12,deepseek-coder:6.7b,0.5
qwen3_8b,PlainLLM,13,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,14,deepseek-coder:6.7b,0.5
qwen3_8b,PlainLLM,15,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,16,deepseek-coder:6.7b,0.75
qwen3_8b,PlainLLM,17,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,18,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,19,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,20,deepseek-coder:6.7b,0.8
qwen3_8b,PlainLLM,21,deepseek-coder:6.7b,0.9
qwen3_8b,PlainLLM,22,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,23,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,24,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,25,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,26,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,27,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,28,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,29,deepseek-coder:6.7b,0.0
qwen3_8b,PlainLLM,30,deepseek-coder:6.7b,0.0
qwen3_8b,PlainLLM,31,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,32,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,33,deepseek-coder:6.7b,0.625
qwen3_8b,PlainLLM,34,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,35,deepseek-coder:6.7b,0.667
qwen3_8b,PlainLLM,36,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,37,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,38,deepseek-coder:6.7b,0.75
qwen3_8b,PlainLLM,39,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,40,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,41,deepseek-coder:6.7b,0.0
qwen3_8b,PlainLLM,42,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,43,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,44,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,45,deepseek-coder:6.7b,0.5
qwen3_8b,PlainLLM,46,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,47,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,48,deepseek-coder:6.7b,0.39
qwen3_8b,PlainLLM,49,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,50,deepseek-coder:6.7b,0.001
qwen3_8b,PlainLLM,51,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,52,deepseek-coder:6.7b,0.025
qwen3_8b,PlainLLM,53,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,54,deepseek-coder:6.7b,0.75
qwen3_8b,PlainLLM,55,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,56,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,57,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,58,deepseek-coder:6.7b,0.5
qwen3_8b,PlainLLM,59,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,60,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,61,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,62,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,63,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,64,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,65,deepseek-coder:6.7b,1.0
qwen3_8b,PlainLLM,66,deepseek-coder:6.7b,1.0
