model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,CoTRAG,0,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTRAG,1,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTRAG,2,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTRAG,3,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTRAG,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,6,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,7,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,9,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTRAG,10,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTRAG,12,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTRAG,13,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,14,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTRAG,16,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,17,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTRAG,18,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTRAG,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,20,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTRAG,21,qwen3:8b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTRAG,22,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTRAG,23,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTRAG,25,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
