model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,CoTPlainLLM,0,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,1,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,2,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTPlainLLM,3,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,4,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,5,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,6,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,7,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTPlainLLM,8,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,9,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTPlainLLM,10,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,11,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTPlainLLM,12,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,13,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,14,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTPlainLLM,15,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTPlainLLM,16,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,17,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTPlainLLM,18,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,19,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,20,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,21,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTPlainLLM,22,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,23,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,24,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,25,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,26,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTPlainLLM,27,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,28,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTPlainLLM,29,qwen3:8b,0.16666666666666666,3,0.0,0.5,0.0
llama3_2_latest,CoTPlainLLM,30,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTPlainLLM,31,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
llama3_2_latest,CoTPlainLLM,32,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,33,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,34,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTPlainLLM,35,qwen3:8b,0.0,3,0.0,0.0,0.0
llama3_2_latest,CoTPlainLLM,36,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
llama3_2_latest,CoTPlainLLM,37,qwen3:8b,0.16666666666666666,3,0.5,0.0,0.0
llama3_2_latest,CoTPlainLLM,38,qwen3:8b,0.3333333333333333,3,0.5,0.0,0.5
llama3_2_latest,CoTPlainLLM,39,qwen3:8b,0.5,3,0.5,0.5,0.5
llama3_2_latest,CoTPlainLLM,40,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
llama3_2_latest,CoTPlainLLM,41,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
