model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
qwen3_8b,CoTSelfCorrectionRAG,0,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,1,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,2,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,3,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,4,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,5,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,6,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTSelfCorrectionRAG,7,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTSelfCorrectionRAG,8,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,9,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,CoTSelfCorrectionRAG,10,qwen3:8b,0.3333333333333333,3,0.0,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,11,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTSelfCorrectionRAG,12,qwen3:8b,0.16666666666666666,3,0.0,0.0,0.5
qwen3_8b,CoTSelfCorrectionRAG,13,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,14,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,15,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,16,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,17,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,18,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,19,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTSelfCorrectionRAG,20,qwen3:8b,0.0,3,0.0,0.0,0.0
qwen3_8b,CoTSelfCorrectionRAG,21,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,22,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,23,qwen3:8b,1.0,3,1.0,1.0,1.0
qwen3_8b,CoTSelfCorrectionRAG,24,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,25,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,26,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,27,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,28,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,29,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,30,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,31,qwen3:8b,0.6666666666666666,3,0.5,0.5,1.0
qwen3_8b,CoTSelfCorrectionRAG,32,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,33,qwen3:8b,0.5,3,0.5,0.5,0.5
qwen3_8b,CoTSelfCorrectionRAG,34,qwen3:8b,0.3333333333333333,3,0.5,0.5,0.0
qwen3_8b,CoTSelfCorrectionRAG,35,qwen3:8b,0.5,3,0.5,0.5,0.5
