model_dir,strategy,sample_index,judge,faithfulness_code_ref,n_draws,draw_1,draw_2,draw_3
llama3_2_latest,CoTSelfCorrectionRAG,0,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,1,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,2,deepseek-coder:6.7b,0.7222222222222222,3,0.5,0.6666666666666666,1.0
llama3_2_latest,CoTSelfCorrectionRAG,3,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,4,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,5,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,6,deepseek-coder:6.7b,0.75,3,0.5,0.75,1.0
llama3_2_latest,CoTSelfCorrectionRAG,7,deepseek-coder:6.7b,0.5333333333333333,3,0.0,1.0,0.6
llama3_2_latest,CoTSelfCorrectionRAG,8,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,9,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,10,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,11,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,12,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,13,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,14,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,15,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,16,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,17,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,18,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,19,deepseek-coder:6.7b,0.5,3,1.0,0.5,0.0
llama3_2_latest,CoTSelfCorrectionRAG,20,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,21,deepseek-coder:6.7b,0.6669999999999999,3,1.0,0.001,1.0
llama3_2_latest,CoTSelfCorrectionRAG,22,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,23,deepseek-coder:6.7b,0.9333333333333332,3,1.0,0.8,1.0
llama3_2_latest,CoTSelfCorrectionRAG,24,deepseek-coder:6.7b,0.8333333333333334,3,1.0,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,25,deepseek-coder:6.7b,0.8066666666666666,3,1.0,0.92,0.5
llama3_2_latest,CoTSelfCorrectionRAG,26,deepseek-coder:6.7b,0.7833333333333333,3,1.0,0.5,0.85
llama3_2_latest,CoTSelfCorrectionRAG,27,deepseek-coder:6.7b,0.9666666666666667,3,1.0,0.9,1.0
llama3_2_latest,CoTSelfCorrectionRAG,28,deepseek-coder:6.7b,0.5666666666666667,3,0.75,0.0,0.95
llama3_2_latest,CoTSelfCorrectionRAG,29,deepseek-coder:6.7b,0.7466666666666667,3,0.24,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,30,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,31,deepseek-coder:6.7b,0.7000000000000001,3,0.5,1.0,0.6
llama3_2_latest,CoTSelfCorrectionRAG,32,deepseek-coder:6.7b,0.17166666666666666,3,0.015,0.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,33,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,34,deepseek-coder:6.7b,0.5833333333333334,3,0.75,0.5,0.5
llama3_2_latest,CoTSelfCorrectionRAG,35,deepseek-coder:6.7b,0.5033333333333333,3,0.01,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,36,deepseek-coder:6.7b,0.7000000000000001,3,0.5,0.6,1.0
llama3_2_latest,CoTSelfCorrectionRAG,37,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,38,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,39,deepseek-coder:6.7b,0.6666666666666666,3,0.5,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,40,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,41,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,42,deepseek-coder:6.7b,0.5499999999999999,3,0.0,0.9,0.75
llama3_2_latest,CoTSelfCorrectionRAG,43,deepseek-coder:6.7b,0.9833333333333334,3,1.0,0.95,1.0
llama3_2_latest,CoTSelfCorrectionRAG,44,deepseek-coder:6.7b,0.6666666666666666,3,0.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,45,deepseek-coder:6.7b,0.8866666666666667,3,0.66,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,46,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,CoTSelfCorrectionRAG,47,deepseek-coder:6.7b,0.9583333333333334,3,1.0,1.0,0.875
llama3_2_latest,CoTSelfCorrectionRAG,48,deepseek-coder:6.7b,0.75,3,1.0,0.5,0.75
llama3_2_latest,CoTSelfCorrectionRAG,49,deepseek-coder:6.7b,0.9666666666666667,3,1.0,1.0,0.9
llama3_2_latest,CoTSelfCorrectionRAG,50,deepseek-coder:6.7b,0.5003333333333333,3,0.5,1.0,0.001
llama3_2_latest,CoTSelfCorrectionRAG,51,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,52,deepseek-coder:6.7b,0.7233333333333333,3,0.67,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,53,deepseek-coder:6.7b,0.8166666666666668,3,0.95,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,54,deepseek-coder:6.7b,1.0,3,1.0,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,55,deepseek-coder:6.7b,0.7833333333333333,3,0.85,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,56,deepseek-coder:6.7b,0.8833333333333333,3,0.8,1.0,0.85
llama3_2_latest,CoTSelfCorrectionRAG,57,deepseek-coder:6.7b,0.5033333333333333,3,0.01,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,58,deepseek-coder:6.7b,0.7666666666666666,3,0.5,1.0,0.8
llama3_2_latest,CoTSelfCorrectionRAG,59,deepseek-coder:6.7b,0.8166666666666668,3,0.95,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,60,deepseek-coder:6.7b,0.5,3,0.0,0.5,1.0
llama3_2_latest,CoTSelfCorrectionRAG,61,deepseek-coder:6.7b,0.9166666666666666,3,1.0,1.0,0.75
llama3_2_latest,CoTSelfCorrectionRAG,62,deepseek-coder:6.7b,0.8333333333333334,3,0.5,1.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,63,deepseek-coder:6.7b,0.8333333333333334,3,1.0,1.0,0.5
llama3_2_latest,CoTSelfCorrectionRAG,64,deepseek-coder:6.7b,0.61,3,1.0,0.83,0.0
llama3_2_latest,CoTSelfCorrectionRAG,65,deepseek-coder:6.7b,0.6666666666666666,3,1.0,0.0,1.0
llama3_2_latest,CoTSelfCorrectionRAG,66,deepseek-coder:6.7b,0.6666666666666666,3,0.5,1.0,0.5
